,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train,model
0,0,0.6496062992125984,0.6863255813953488,1.0,1.0,raw_random_forest
1,1,0.6377952755905512,0.7200520833333333,1.0,1.0,raw_random_forest
2,2,0.6377952755905512,0.7205105633802817,0.9993315508021391,1.0,raw_random_forest
3,3,0.6299212598425197,0.6903742319865948,1.0,1.0,raw_random_forest
4,4,0.6338582677165354,0.7188217054263566,0.9993315508021391,1.0,raw_random_forest
5,5,0.5905511811023622,0.659968992248062,1.0,1.0,raw_random_forest
6,6,0.6220472440944882,0.6685267857142858,0.9993315508021391,1.0,raw_random_forest
7,7,0.6062992125984252,0.6975633951267901,1.0,1.0,raw_random_forest
8,8,0.6377952755905512,0.7111042183622829,0.9993315508021391,1.0,raw_random_forest
9,9,0.6811023622047244,0.7653953488372094,1.0,1.0,raw_random_forest
0,0,0.6417322834645669,0.723728287841191,1.0,1.0,raw_extra_trees
1,1,0.6141732283464567,0.6848062015503876,1.0,1.0,raw_extra_trees
2,2,0.6181102362204725,0.6952771054428102,1.0,1.0,raw_extra_trees
3,3,0.6968503937007874,0.7661702392821534,1.0,1.0,raw_extra_trees
4,4,0.6692913385826772,0.6926705144914045,1.0,1.0,raw_extra_trees
5,5,0.6299212598425197,0.6895151289682542,1.0,1.0,raw_extra_trees
6,6,0.6417322834645669,0.7031317829457364,1.0,1.0,raw_extra_trees
7,7,0.6377952755905512,0.6835735229895814,1.0,1.0,raw_extra_trees
8,8,0.65748031496063,0.7115205368793885,1.0,1.0,raw_extra_trees
9,9,0.6692913385826772,0.7512272416578637,1.0,1.0,raw_extra_trees
0,0,0.4881889763779528,0.5449922480620155,0.5334224598930482,0.6078828828828828,raw_logit_l2
1,1,0.44881889763779526,0.4930452061599603,0.536096256684492,0.6048257803912457,raw_logit_l2
2,2,0.484251968503937,0.5061313414254591,0.5427807486631016,0.6147382122193853,raw_logit_l2
3,3,0.5039370078740157,0.5621584699453551,0.5414438502673797,0.6169650692876766,raw_logit_l2
4,4,0.452755905511811,0.48945409429280395,0.5340909090909091,0.5814618189618189,raw_logit_l2
5,5,0.452755905511811,0.5177419354838709,0.5427807486631016,0.6065470603484495,raw_logit_l2
6,6,0.4094488188976378,0.47572031793343267,0.5220588235294118,0.58891089250479,raw_logit_l2
7,7,0.421259842519685,0.4924937965260545,0.5294117647058824,0.6052726119089537,raw_logit_l2
8,8,0.4763779527559055,0.49507099014198025,0.5314171122994652,0.6019893555167941,raw_logit_l2
9,9,0.4881889763779528,0.48592555769589263,0.5501336898395722,0.59436977874878,raw_logit_l2
0,0,0.5393700787401575,0.5681691363382726,0.5434491978609626,0.600254971132476,raw_logit
1,1,0.4763779527559055,0.52519729074753,0.5474598930481284,0.6098247658748389,raw_logit
2,2,0.452755905511811,0.5005583126550868,0.5106951871657754,0.6005652749454403,raw_logit
3,3,0.5118110236220472,0.5502481389578163,0.5247326203208557,0.6041200851469966,raw_logit
4,4,0.48031496062992124,0.5029850746268657,0.5120320855614974,0.5819378984563085,raw_logit
5,5,0.4566929133858268,0.48883928571428575,0.5487967914438503,0.6076444508009152,raw_logit
6,6,0.484251968503937,0.5235290470580941,0.5381016042780749,0.6009985627560761,raw_logit
7,7,0.5039370078740157,0.5986356589147287,0.5307486631016043,0.6028010573669846,raw_logit
8,8,0.484251968503937,0.544124031007752,0.535427807486631,0.6015320740013905,raw_logit
9,9,0.4015748031496063,0.47098616024328177,0.5254010695187166,0.5935873512926104,raw_logit
0,0,0.6259842519685039,0.6725581395348836,1.0,1.0,raw_xgboost
1,1,0.65748031496063,0.7062698067482757,1.0,1.0,raw_xgboost
2,2,0.6259842519685039,0.6492435515873016,1.0,1.0,raw_xgboost
3,3,0.5866141732283464,0.6272941468253969,1.0,1.0,raw_xgboost
4,4,0.6220472440944882,0.6835891381345927,1.0,1.0,raw_xgboost
5,5,0.5984251968503937,0.6535095885309998,1.0,1.0,raw_xgboost
6,6,0.6653543307086615,0.71484375,1.0,1.0,raw_xgboost
7,7,0.610236220472441,0.6411432822865646,1.0,1.0,raw_xgboost
8,8,0.65748031496063,0.6992993985987972,1.0,1.0,raw_xgboost
9,9,0.610236220472441,0.6497518610421835,1.0,1.0,raw_xgboost
