,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train,model
0,0,0.5669291338582677,0.611968992248062,0.9906417112299465,0.9995101544622426,tsfresh_simple_baseline_random_forest
1,1,0.5551181102362205,0.6114831349206349,0.9933155080213903,0.9998409123409123,tsfresh_simple_baseline_random_forest
2,2,0.5551181102362205,0.5989059356136821,0.9886363636363636,0.9996102995330745,tsfresh_simple_baseline_random_forest
3,3,0.5826771653543307,0.6167690684540433,0.9893048128342246,0.9995763734348606,tsfresh_simple_baseline_random_forest
4,4,0.610236220472441,0.6468837209302326,0.9866310160427807,0.9994888000743565,tsfresh_simple_baseline_random_forest
5,5,0.5039370078740157,0.5452403100775194,0.9886363636363636,0.9994209063530506,tsfresh_simple_baseline_random_forest
6,6,0.5708661417322834,0.6051587301587302,0.9866310160427807,0.9993582214690114,tsfresh_simple_baseline_random_forest
7,7,0.5551181102362205,0.6166532333064666,0.9886363636363636,0.9995853351635781,tsfresh_simple_baseline_random_forest
8,8,0.610236220472441,0.6517990074441687,0.9893048128342246,0.9995673967293762,tsfresh_simple_baseline_random_forest
9,9,0.6338582677165354,0.685829457364341,0.9879679144385026,0.9990982738384908,tsfresh_simple_baseline_random_forest
0,0,0.594488188976378,0.6773883374689826,1.0,1.0,tsfresh_simple_baseline_extra_trees
1,1,0.6023622047244095,0.6465426356589148,1.0,1.0,tsfresh_simple_baseline_extra_trees
2,2,0.610236220472441,0.6904983553652331,1.0,1.0,tsfresh_simple_baseline_extra_trees
3,3,0.65748031496063,0.7050099700897309,1.0,1.0,tsfresh_simple_baseline_extra_trees
4,4,0.5590551181102362,0.6226338980947062,1.0,1.0,tsfresh_simple_baseline_extra_trees
5,5,0.5984251968503937,0.6548859126984127,1.0,1.0,tsfresh_simple_baseline_extra_trees
6,6,0.6062992125984252,0.642108527131783,1.0,1.0,tsfresh_simple_baseline_extra_trees
7,7,0.6259842519685039,0.6627674839353672,1.0,1.0,tsfresh_simple_baseline_extra_trees
8,8,0.6181102362204725,0.6900205058099795,1.0,1.0,tsfresh_simple_baseline_extra_trees
9,9,0.5826771653543307,0.667029143105698,1.0,1.0,tsfresh_simple_baseline_extra_trees
0,0,0.5787401574803149,0.6234418604651163,0.5721925133689839,0.6020752895752897,tsfresh_simple_baseline_logit_l2
1,1,0.6299212598425197,0.7143566815697963,0.5741978609625669,0.5964932662490281,tsfresh_simple_baseline_logit_l2
2,2,0.5826771653543307,0.6592592592592592,0.5842245989304813,0.6065674011457014,tsfresh_simple_baseline_logit_l2
3,3,0.6141732283464567,0.672876304023845,0.5768716577540107,0.6231869292681227,tsfresh_simple_baseline_logit_l2
4,4,0.6181102362204725,0.6338089330024813,0.5601604278074866,0.5935810810810811,tsfresh_simple_baseline_logit_l2
5,5,0.5787401574803149,0.6910049627791562,0.5842245989304813,0.6067812670403248,tsfresh_simple_baseline_logit_l2
6,6,0.5984251968503937,0.6843020367610533,0.5701871657754011,0.6009179559038005,tsfresh_simple_baseline_logit_l2
7,7,0.6535433070866141,0.7166873449131513,0.5788770053475936,0.6176927407751633,tsfresh_simple_baseline_logit_l2
8,8,0.6456692913385826,0.682745365490731,0.5614973262032086,0.5978728923476005,tsfresh_simple_baseline_logit_l2
9,9,0.6181102362204725,0.6673087677872367,0.5815508021390374,0.5987034732233196,tsfresh_simple_baseline_logit_l2
0,0,0.5393700787401575,0.5418190836381673,0.5782085561497327,0.6057853057239767,tsfresh_simple_baseline_logit
1,1,0.5669291338582677,0.600012427763624,0.5822192513368984,0.6035218430418484,tsfresh_simple_baseline_logit
2,2,0.5590551181102362,0.5624689826302729,0.5922459893048129,0.6209903044613789,tsfresh_simple_baseline_logit
3,3,0.5433070866141733,0.5862903225806452,0.5982620320855615,0.6232906704700422,tsfresh_simple_baseline_logit
4,4,0.5984251968503937,0.6162313432835821,0.6002673796791443,0.6206061450966304,tsfresh_simple_baseline_logit
5,5,0.547244094488189,0.589967757936508,0.5882352941176471,0.6128057065217392,tsfresh_simple_baseline_logit
6,6,0.5275590551181102,0.5085250170500341,0.5949197860962567,0.6087031912535484,tsfresh_simple_baseline_logit
7,7,0.5984251968503937,0.6338604651162791,0.6029411764705882,0.6363969451459599,tsfresh_simple_baseline_logit
8,8,0.562992125984252,0.5744496124031008,0.5922459893048129,0.6179323435263082,tsfresh_simple_baseline_logit
9,9,0.6141732283464567,0.6533234034630423,0.6002673796791443,0.6182259494394875,tsfresh_simple_baseline_logit
0,0,0.6062992125984252,0.6604031007751938,0.9993315508021391,1.0,tsfresh_simple_baseline_xgboost
1,1,0.5905511811023622,0.6241222891940595,1.0,1.0,tsfresh_simple_baseline_xgboost
2,2,0.5708661417322834,0.5988343253968255,1.0,1.0,tsfresh_simple_baseline_xgboost
3,3,0.5393700787401575,0.5684523809523809,0.9993315508021391,0.9999982125461387,tsfresh_simple_baseline_xgboost
4,4,0.594488188976378,0.6382278009072267,0.9993315508021391,0.9999982119836432,tsfresh_simple_baseline_xgboost
5,5,0.610236220472441,0.662694718550239,0.9993315508021391,1.0,tsfresh_simple_baseline_xgboost
6,6,0.5748031496062992,0.6070808531746033,1.0,1.0,tsfresh_simple_baseline_xgboost
7,7,0.6023622047244095,0.6111352222704445,0.9993315508021391,1.0,tsfresh_simple_baseline_xgboost
8,8,0.6220472440944882,0.6799553599107198,1.0,1.0,tsfresh_simple_baseline_xgboost
9,9,0.5511811023622047,0.5632133995037221,1.0,1.0,tsfresh_simple_baseline_xgboost
0,0,0.6771653543307087,0.7395968992248062,1.0,1.0,tsfresh_full_random_forest
1,1,0.7047244094488189,0.7897445436507936,1.0,1.0,tsfresh_full_random_forest
2,2,0.7244094488188977,0.7903436276642019,1.0,1.0,tsfresh_full_random_forest
3,3,0.7362204724409449,0.804749503968254,1.0,1.0,tsfresh_full_random_forest
4,4,0.7244094488188977,0.8053970223325061,1.0,1.0,tsfresh_full_random_forest
5,5,0.7322834645669292,0.806015503875969,1.0,1.0,tsfresh_full_random_forest
6,6,0.7086614173228346,0.7665116279069767,1.0,1.0,tsfresh_full_random_forest
7,7,0.7322834645669292,0.7889200124494242,1.0,1.0,tsfresh_full_random_forest
8,8,0.7322834645669292,0.810545905707196,1.0,1.0,tsfresh_full_random_forest
9,9,0.6850393700787402,0.7769837817684708,1.0,1.0,tsfresh_full_random_forest
0,0,0.7322834645669292,0.8252481389578165,1.0,1.0,tsfresh_full_extra_trees
1,1,0.7598425196850394,0.8503692670514491,1.0,1.0,tsfresh_full_extra_trees
2,2,0.7480314960629921,0.831159960258321,1.0,1.0,tsfresh_full_extra_trees
3,3,0.7283464566929134,0.8128216256432512,1.0,1.0,tsfresh_full_extra_trees
4,4,0.7244094488188977,0.8352554563492063,1.0,1.0,tsfresh_full_extra_trees
5,5,0.7125984251968503,0.7844961240310078,1.0,1.0,tsfresh_full_extra_trees
6,6,0.7440944881889764,0.8094883720930233,1.0,1.0,tsfresh_full_extra_trees
7,7,0.7086614173228346,0.8086435096004474,1.0,1.0,tsfresh_full_extra_trees
8,8,0.7480314960629921,0.8524651162790697,1.0,1.0,tsfresh_full_extra_trees
9,9,0.7165354330708661,0.7955084957521239,1.0,1.0,tsfresh_full_extra_trees
0,0,0.6220472440944882,0.7217881944444444,0.7560160427807486,0.8422879489819263,tsfresh_full_logit_l2
1,1,0.6259842519685039,0.6745613491226983,0.7493315508021391,0.8334539864689742,tsfresh_full_logit_l2
2,2,0.6889763779527559,0.7438714081797307,0.7667112299465241,0.8512519146456766,tsfresh_full_logit_l2
3,3,0.6614173228346457,0.7261838267237635,0.7520053475935828,0.8392208590711507,tsfresh_full_logit_l2
4,4,0.6299212598425197,0.693802781917536,0.7580213903743316,0.8445580663615561,tsfresh_full_logit_l2
5,5,0.6259842519685039,0.6689075630252102,0.7667112299465241,0.8470976217926376,tsfresh_full_logit_l2
6,6,0.6259842519685039,0.6910569105691057,0.7787433155080213,0.8535950165786346,tsfresh_full_logit_l2
7,7,0.6417322834645669,0.7129836309523809,0.7573529411764706,0.8394070259202633,tsfresh_full_logit_l2
8,8,0.6535433070866141,0.6784474206349207,0.7580213903743316,0.8477359046997739,tsfresh_full_logit_l2
9,9,0.6614173228346457,0.7196650124069479,0.7814171122994652,0.849382667505505,tsfresh_full_logit_l2
0,0,0.610236220472441,0.6561859193438141,0.8175133689839572,0.9063205982441591,tsfresh_full_logit
1,1,0.6614173228346457,0.7038070436507936,0.8235294117647058,0.9091438940885158,tsfresh_full_logit
2,2,0.65748031496063,0.6912248062015504,0.8315508021390374,0.9131066581587512,tsfresh_full_logit
3,3,0.6062992125984252,0.6722053444106888,0.8315508021390374,0.9101753595756051,tsfresh_full_logit
4,4,0.6496062992125984,0.6814236111111112,0.8161764705882353,0.899811964223155,tsfresh_full_logit
5,5,0.6062992125984252,0.6603233830845772,0.8322192513368984,0.910511414415123,tsfresh_full_logit
6,6,0.6259842519685039,0.6629032258064516,0.821524064171123,0.9016739243909591,tsfresh_full_logit
7,7,0.5905511811023622,0.655272952853598,0.8262032085561497,0.9055488782051282,tsfresh_full_logit
8,8,0.610236220472441,0.6593713187426374,0.8161764705882353,0.9017288557880833,tsfresh_full_logit
9,9,0.6299212598425197,0.6693328373015872,0.8188502673796791,0.9035151697163409,tsfresh_full_logit
0,0,0.7598425196850394,0.8274405020816503,1.0,1.0,tsfresh_full_xgboost
1,1,0.6929133858267716,0.7497516145057129,1.0,1.0,tsfresh_full_xgboost
2,2,0.7559055118110236,0.8293333333333334,1.0,1.0,tsfresh_full_xgboost
3,3,0.6811023622047244,0.7634749130650771,1.0,1.0,tsfresh_full_xgboost
4,4,0.7244094488188977,0.8218736437472874,1.0,1.0,tsfresh_full_xgboost
5,5,0.7165354330708661,0.7954147926036981,1.0,1.0,tsfresh_full_xgboost
6,6,0.6889763779527559,0.7368584372866629,1.0,1.0,tsfresh_full_xgboost
7,7,0.7204724409448819,0.8016129032258065,1.0,1.0,tsfresh_full_xgboost
8,8,0.6811023622047244,0.7674129353233831,1.0,1.0,tsfresh_full_xgboost
9,9,0.7086614173228346,0.7664179104477611,1.0,1.0,tsfresh_full_xgboost
