model_name,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train
tsfresh_full_extra_trees_sce,0,0.6653543307086615,0.7275348837209302,1.0,1.0
tsfresh_full_extra_trees_sce,4,0.65748031496063,0.7316279069767442,1.0,1.0
tsfresh_full_extra_trees_sce,1,0.6259842519685039,0.6949404761904762,1.0,1.0
tsfresh_full_extra_trees_sce,2,0.6377952755905512,0.7329917002012072,1.0,1.0
tsfresh_full_extra_trees_sce,3,0.6417322834645669,0.7432818221311984,1.0,1.0
tsfresh_full_logit_elastic_sce,0,0.484251968503937,0.5561550387596899,0.8235294117647058,0.9089262728832952
tsfresh_full_logit_elastic_sce,1,0.5511811023622047,0.6047247023809524,0.8302139037433155,0.9133294008294008
tsfresh_full_logit_elastic_sce,3,0.5433070866141733,0.5877241978526656,0.839572192513369,0.9242530677176897
tsfresh_full_logit_elastic_sce,4,0.594488188976378,0.6093023255813953,0.8322192513368984,0.9169586106801461
tsfresh_full_logit_elastic_sce,2,0.562992125984252,0.6121101609657946,0.8348930481283422,0.918000228814953
tsfresh_full_logit_l2_sce,2,0.6023622047244095,0.6664989939637828,0.7486631016042781,0.8270784620774967
tsfresh_full_logit_l2_sce,0,0.5787401574803149,0.6193488372093024,0.7165775401069518,0.8045087242562929
tsfresh_full_logit_l2_sce,4,0.6496062992125984,0.6785116279069767,0.7413101604278075,0.8283690934959641
tsfresh_full_logit_l2_sce,1,0.5905511811023622,0.6375868055555557,0.7466577540106952,0.8237898612898613
tsfresh_full_logit_l2_sce,3,0.5826771653543307,0.638366536337119,0.7479946524064172,0.8339562610040128
tsfresh_full_random_forest_sce,4,0.6496062992125984,0.7174573643410853,1.0,1.0
tsfresh_full_random_forest_sce,0,0.6535433070866141,0.7062325581395349,1.0,1.0
tsfresh_full_random_forest_sce,2,0.6535433070866141,0.7340920523138833,1.0,1.0
tsfresh_full_random_forest_sce,1,0.6456692913385826,0.6845858134920635,1.0,1.0
tsfresh_full_random_forest_sce,3,0.6299212598425197,0.6945323651709799,1.0,1.0
tsfresh_full_xgboost_sce,2,0.6062992125984252,0.6658073440643864,1.0,1.0
tsfresh_full_xgboost_sce,3,0.6141732283464567,0.6590951405697262,1.0,1.0
tsfresh_full_xgboost_sce,1,0.5984251968503937,0.6537078373015873,1.0,1.0
tsfresh_full_xgboost_sce,0,0.6299212598425197,0.6444031007751938,1.0,1.0
tsfresh_full_xgboost_sce,4,0.65748031496063,0.6987286821705426,1.0,1.0
