model_name,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train
tsfresh_simple_baseline_extra_trees,0,0.6535433070866141,0.6890542635658915,1.0,1.0
tsfresh_simple_baseline_extra_trees,4,0.6456692913385826,0.682015503875969,1.0,1.0
tsfresh_simple_baseline_extra_trees,1,0.6338582677165354,0.658203125,1.0,1.0
tsfresh_simple_baseline_extra_trees,2,0.6062992125984252,0.6624434104627765,1.0,1.0
tsfresh_simple_baseline_extra_trees,3,0.6417322834645669,0.6743933469869049,1.0,1.0
tsfresh_simple_baseline_logit_elastic,0,0.6259842519685039,0.6708837209302325,0.5942513368983957,0.6205520594965676
tsfresh_simple_baseline_logit_elastic,1,0.6023622047244095,0.6252480158730158,0.5828877005347594,0.6184255684255684
tsfresh_simple_baseline_logit_elastic,3,0.5905511811023622,0.6011295227456092,0.5942513368983957,0.6164034640855833
tsfresh_simple_baseline_logit_elastic,4,0.6220472440944882,0.6855193798449613,0.5842245989304813,0.6168824669149978
tsfresh_simple_baseline_logit_elastic,2,0.5866141732283464,0.6494592555331992,0.5969251336898396,0.6240820587625402
tsfresh_simple_baseline_logit_l2,2,0.6141732283464567,0.7216423541247485,0.5902406417112299,0.6079398788710844
tsfresh_simple_baseline_logit_l2,0,0.6299212598425197,0.7348837209302326,0.5735294117647058,0.6141143449656751
tsfresh_simple_baseline_logit_l2,4,0.6377952755905512,0.736186046511628,0.5648395721925134,0.608629984199275
tsfresh_simple_baseline_logit_l2,1,0.594488188976378,0.6927083333333334,0.571524064171123,0.6132328757328758
tsfresh_simple_baseline_logit_l2,3,0.562992125984252,0.6543163904921492,0.571524064171123,0.6090588161693076
tsfresh_simple_baseline_random_forest,4,0.6456692913385826,0.6827286821705426,0.9324866310160428,0.9862512243774445
tsfresh_simple_baseline_random_forest,0,0.6614173228346457,0.6969922480620155,0.9385026737967914,0.9862807494279175
tsfresh_simple_baseline_random_forest,2,0.5787401574803149,0.6480759557344065,0.9371657754010695,0.9849429035187449
tsfresh_simple_baseline_random_forest,1,0.6338582677165354,0.6558779761904762,0.9525401069518716,0.988881738881739
tsfresh_simple_baseline_random_forest,3,0.6181102362204725,0.6451312604729101,0.945855614973262,0.9872786908687919
tsfresh_simple_baseline_xgboost,2,0.5708661417322834,0.6211016096579477,1.0,1.0
tsfresh_simple_baseline_xgboost,3,0.6259842519685039,0.6570471048221932,1.0,1.0
tsfresh_simple_baseline_xgboost,1,0.5787401574803149,0.6412450396825398,1.0,1.0
tsfresh_simple_baseline_xgboost,0,0.6535433070866141,0.6818604651162791,1.0,1.0
tsfresh_simple_baseline_xgboost,4,0.594488188976378,0.6442170542635659,1.0,1.0
