model_name,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train
raw_knn_k1_ks,4,0.677891654465593,0.6770870091552471,1.0,1.0
raw_knn_k1_ks,3,0.650491528968835,0.6504689483992266,1.0,1.0
raw_knn_k1_ks,0,0.6902321690023008,0.6903567063695392,1.0,1.0
raw_knn_k1_ks,2,0.6730809454089103,0.6733313557586799,1.0,1.0
raw_knn_k1_ks,1,0.671407655302238,0.6710588441177758,1.0,1.0
raw_knn_k1_lp1,4,0.49194729136163984,0.4972504852084926,1.0,1.0
raw_knn_k1_lp1,3,0.5164191591717214,0.5166373610374193,1.0,1.0
raw_knn_k1_lp1,2,0.5245764484417486,0.5214112707754718,1.0,1.0
raw_knn_k1_lp1,0,0.49759464547165866,0.49658768440976275,1.0,1.0
raw_knn_k1_lp1,1,0.5055427734783519,0.5076268976681104,1.0,1.0
raw_knn_k5_lp1,1,0.49194729136163984,0.5205867786673667,0.5662520281233099,0.8144145145625388
raw_knn_k5_lp1,3,0.5040786446350136,0.550729304182632,0.5678745267712277,0.8202433874324346
raw_knn_k5_lp1,0,0.4984312905249948,0.5057931229753075,0.5489453758788534,0.8411054056205717
raw_knn_k5_lp1,4,0.4927839364149759,0.514994990379849,0.5548945375878853,0.793476378680557
raw_knn_k5_lp1,2,0.5082618699016942,0.5617356805219397,0.5640886965927528,0.8590040600465677
raw_knn_k5_lp1_wd,4,0.4927839364149759,0.5194997101351863,1.0,1.0
raw_knn_k5_lp1_wd,2,0.5082618699016942,0.5668005467206387,1.0,1.0
raw_knn_k5_lp1_wd,0,0.4984312905249948,0.5058751081469286,1.0,1.0
raw_knn_k5_lp1_wd,3,0.5040786446350136,0.5541986438680071,1.0,1.0
raw_knn_k5_lp1_wd,1,0.49194729136163984,0.5264809905061907,1.0,1.0
raw_knn_k5_lp2,1,0.49550303283831837,0.5222433390208688,0.5624661979448351,0.8019898430826478
raw_knn_k5_lp2,2,0.5042878058983477,0.5472957979163713,0.5511087074094105,0.8553506031567739
raw_knn_k5_lp2,3,0.5040786446350136,0.5333847931783215,0.5548945375878853,0.8239180764972062
raw_knn_k5_lp2,0,0.4992679355783309,0.5152950906194264,0.5505678745267713,0.8454418906325367
raw_knn_k5_lp2,4,0.4927839364149759,0.5140503041480076,0.5678745267712277,0.778299016958116
