model_name,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train
tsfresh_full_extra_trees_sce_plus_isi,0,0.8548983364140481,0.9555701533797953,1.0,1.0
tsfresh_full_extra_trees_sce_plus_isi,4,0.8743068391866913,0.9605315337490428,1.0,1.0
tsfresh_full_extra_trees_sce_plus_isi,1,0.8585951940850277,0.9580668088130774,1.0,1.0
tsfresh_full_extra_trees_sce_plus_isi,2,0.8622920517560074,0.9593244097987932,1.0,1.0
tsfresh_full_extra_trees_sce_plus_isi,3,0.878003696857671,0.9636427314506346,1.0,1.0
tsfresh_full_logit_elastic_sce_plus_isi,0,0.8382624768946395,0.9317540312233775,0.9820747520976354,0.9985959501920167
tsfresh_full_logit_elastic_sce_plus_isi,1,0.8345656192236599,0.8944460390355914,0.9858886346300534,0.9993243840896818
tsfresh_full_logit_elastic_sce_plus_isi,3,0.8290203327171903,0.9323082705482378,0.9855072463768116,0.9984038080496257
tsfresh_full_logit_elastic_sce_plus_isi,4,0.8382624768946395,0.9288268515479705,0.9927536231884058,0.9996631166884662
tsfresh_full_logit_elastic_sce_plus_isi,2,0.8548983364140481,0.944639896063046,0.9889397406559878,0.9992976535110051
tsfresh_full_logit_l2_sce_plus_isi,2,0.8428835489833642,0.9152024890165308,0.950419527078566,0.9845338298831847
tsfresh_full_logit_l2_sce_plus_isi,0,0.844731977818854,0.9092722414388892,0.9469870327993898,0.9813394623530781
tsfresh_full_logit_l2_sce_plus_isi,4,0.8401109057301294,0.9179896893118915,0.9443173150266971,0.9861109818141196
tsfresh_full_logit_l2_sce_plus_isi,1,0.8373382624768947,0.888377480728227,0.9473684210526315,0.9850235563583546
tsfresh_full_logit_l2_sce_plus_isi,3,0.8364140480591498,0.9103514256914904,0.944698703279939,0.9817034388247651
tsfresh_full_random_forest_sce_plus_isi,4,0.8632162661737524,0.9615468767093315,0.9996186117467581,0.999999418163538
tsfresh_full_random_forest_sce_plus_isi,0,0.866913123844732,0.9614720081017926,0.9992372234935164,0.9999994181310369
tsfresh_full_random_forest_sce_plus_isi,2,0.8632162661737524,0.9625621826760347,0.9992372234935164,0.9999959267395004
tsfresh_full_random_forest_sce_plus_isi,1,0.8622920517560074,0.9619963369963371,0.9992372234935164,0.9999994180741513
tsfresh_full_random_forest_sce_plus_isi,3,0.878003696857671,0.9669553926844687,0.9988558352402745,0.9999976723413045
tsfresh_full_xgboost_sce_plus_isi,2,0.8974121996303143,0.9741969673658478,1.0,1.0
tsfresh_full_xgboost_sce_plus_isi,3,0.8955637707948244,0.9738506483522116,1.0,1.0
tsfresh_full_xgboost_sce_plus_isi,1,0.8881700554528651,0.9742598819091356,1.0,1.0
tsfresh_full_xgboost_sce_plus_isi,0,0.8909426987060998,0.972779619612633,1.0,1.0
tsfresh_full_xgboost_sce_plus_isi,4,0.8946395563770795,0.9748147084564053,1.0,1.0
