model_name,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train
tsfresh_full_extra_trees_sce,0,0.8558225508317929,0.9130802207464733,1.0,1.0
tsfresh_full_extra_trees_sce,4,0.8724584103512015,0.930419948583306,1.0,1.0
tsfresh_full_extra_trees_sce,1,0.8567467652495379,0.916504360067793,1.0,1.0
tsfresh_full_extra_trees_sce,2,0.8789279112754159,0.9316443578303162,1.0,1.0
tsfresh_full_extra_trees_sce,3,0.8613678373382625,0.9307416329250167,1.0,1.0
tsfresh_full_logit_elastic_sce,0,0.7791127541589649,0.8549854420916858,0.9214340198321892,0.9784341906202724
tsfresh_full_logit_elastic_sce,1,0.7791127541589649,0.8453986933464546,0.9206712433257056,0.9800981359751216
tsfresh_full_logit_elastic_sce,3,0.7615526802218114,0.850703022226778,0.9164759725400458,0.9771837075529616
tsfresh_full_logit_elastic_sce,4,0.7966728280961183,0.8809689858877585,0.9206712433257056,0.9768260355525352
tsfresh_full_logit_elastic_sce,2,0.8040665434380776,0.8851086380498145,0.9206712433257056,0.9780794576744593
tsfresh_full_logit_l2_sce,2,0.7689463955637708,0.8425628664717849,0.8764302059496567,0.9515089975414962
tsfresh_full_logit_l2_sce,0,0.7504621072088724,0.8119994115252103,0.8775743707093822,0.9496392412428721
tsfresh_full_logit_l2_sce,4,0.767097966728281,0.8488540641067717,0.8779557589626239,0.9518320866517407
tsfresh_full_logit_l2_sce,1,0.7504621072088724,0.8073198567601553,0.8821510297482837,0.9526242528072102
tsfresh_full_logit_l2_sce,3,0.7421441774491682,0.8045102762544205,0.8695652173913043,0.948768814028799
tsfresh_full_random_forest_sce,4,0.8724584103512015,0.9268474455748825,0.9931350114416476,0.9999336706433248
tsfresh_full_random_forest_sce,0,0.8585951940850277,0.9197450398760098,0.9938977879481312,0.9999138833934598
tsfresh_full_random_forest_sce,2,0.8696857670979667,0.9326666324768791,0.9897025171624714,0.9998748927132279
tsfresh_full_random_forest_sce,1,0.8548983364140481,0.9199879722267782,0.9919908466819222,0.9998393884657641
tsfresh_full_random_forest_sce,3,0.8567467652495379,0.9272307928860642,0.994279176201373,0.9999237691777255
tsfresh_full_xgboost_sce,2,0.8715341959334566,0.9469203548899944,1.0,1.0
tsfresh_full_xgboost_sce,3,0.8548983364140481,0.9392137768438317,1.0,1.0
tsfresh_full_xgboost_sce,1,0.8706099815157117,0.9334440435186705,1.0,1.0
tsfresh_full_xgboost_sce,0,0.8687615526802218,0.9365165713816498,1.0,1.0
tsfresh_full_xgboost_sce,4,0.8706099815157117,0.9392537742041352,1.0,1.0
