model_name,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train
raw_knn_k1_ks,4,0.8207024029574861,0.8185544524669073,1.0,1.0
raw_knn_k1_ks,3,0.8317929759704251,0.8324534877761263,1.0,1.0
raw_knn_k1_ks,0,0.8012939001848429,0.8046828223524621,1.0,1.0
raw_knn_k1_ks,2,0.7929759704251387,0.7942253448894815,1.0,1.0
raw_knn_k1_ks,1,0.7985212569316081,0.7990507626701656,1.0,1.0
raw_knn_k1_lp1,4,0.6155268022181146,0.6225043758888524,1.0,1.0
raw_knn_k1_lp1,3,0.6404805914972274,0.6383629747322024,1.0,1.0
raw_knn_k1_lp1,2,0.6229205175600739,0.6155837051472726,1.0,1.0
raw_knn_k1_lp1,0,0.6192236598890942,0.6086437366780597,1.0,1.0
raw_knn_k1_lp1,1,0.6386321626617375,0.6362521185282379,1.0,1.0
raw_knn_k5_lp1,1,0.5841035120147874,0.6819901180908644,0.6737967914438503,0.8788606726149623
raw_knn_k5_lp1,3,0.5850277264325323,0.708728409615089,0.6631016042780749,0.9027567273871142
raw_knn_k5_lp1,0,0.5998151571164511,0.7028578662314691,0.6657754010695187,0.921751615218952
raw_knn_k5_lp1,4,0.5841035120147874,0.704448022645225,0.6497326203208557,0.8941555651052857
raw_knn_k5_lp1,2,0.5868761552680222,0.6876352633468383,0.6176470588235294,0.8418652671427341
raw_knn_k5_lp1_wd,4,0.5841035120147874,0.707970955037742,1.0,1.0
raw_knn_k5_lp1_wd,2,0.5868761552680222,0.6898729849393986,1.0,1.0
raw_knn_k5_lp1_wd,0,0.5998151571164511,0.7038928291609785,1.0,1.0
raw_knn_k5_lp1_wd,3,0.5850277264325323,0.7164761758324365,1.0,1.0
raw_knn_k5_lp1_wd,1,0.5841035120147874,0.6916840932699142,1.0,1.0
raw_knn_k5_lp2,1,0.47966728280961185,0.5180724126619649,0.5721925133689839,0.8462022420498742
raw_knn_k5_lp2,2,0.5027726432532348,0.5394071490845683,0.5775401069518716,0.8722504230118444
raw_knn_k5_lp2,3,0.5,0.5853108502895803,0.5748663101604278,0.8642368955360462
raw_knn_k5_lp2,0,0.5166358595194085,0.5619917134538339,0.553475935828877,0.8709834888729361
raw_knn_k5_lp2,4,0.49168207024029575,0.5653921890383984,0.5962566844919787,0.9086520555794299
