model_name,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train
raw_extra_trees,0,0.7763401109057301,0.8687307762050903,1.0,1.0
raw_extra_trees,4,0.7828096118299446,0.866306339568975,1.0,1.0
raw_extra_trees,1,0.777264325323475,0.8734418566508119,1.0,1.0
raw_extra_trees,2,0.789279112754159,0.8746704959228678,1.0,1.0
raw_extra_trees,3,0.788354898336414,0.8719542821997847,1.0,1.0
raw_logit_elastic,0,0.5314232902033271,0.5114769690811239,0.665903890160183,0.7142272780169905
raw_logit_elastic,1,0.5166358595194085,0.49411595866819746,0.6662852784134249,0.7021709325710881
raw_logit_elastic,3,0.5434380776340111,0.5299711273982198,0.6498855835240275,0.6940077336460155
raw_logit_elastic,4,0.5147874306839186,0.5027896291434197,0.6578947368421053,0.7057356274757142
raw_logit_elastic,2,0.5406654343807763,0.5164128074944014,0.658276125095347,0.6952206106981278
raw_logit_l2,2,0.5573012939001848,0.5278116826503924,0.644927536231884,0.67433351275076
raw_logit_l2,0,0.5517560073937153,0.5225621918633095,0.6674294431731502,0.6936599557779588
raw_logit_l2,4,0.5582255083179297,0.5300056066075922,0.6590389016018307,0.6882491144449048
raw_logit_l2,1,0.5517560073937153,0.5115391449346673,0.6769641495041953,0.6864525334723748
raw_logit_l2,3,0.5637707948243993,0.5437377206020535,0.6529366895499619,0.6769372666885856
raw_random_forest,4,0.7634011090573013,0.8458011978995733,0.948512585812357,0.9812084277847857
raw_random_forest,0,0.7726432532347505,0.8537640147666117,0.9488939740655988,0.9805920516699639
raw_random_forest,2,0.7781885397412199,0.8668068447954598,0.9488939740655988,0.9850156384108466
raw_random_forest,1,0.7735674676524954,0.8541119949702038,0.9385964912280702,0.9782580864415934
raw_random_forest,3,0.7846580406654344,0.8635880614354297,0.9481311975591151,0.979539007195375
raw_xgboost,2,0.8207024029574861,0.8914645195480111,1.0,1.0
raw_xgboost,3,0.8077634011090573,0.8852544718363999,1.0,1.0
raw_xgboost,1,0.8086876155268022,0.8819398884697391,1.0,1.0
raw_xgboost,0,0.8012939001848429,0.8847171044303257,1.0,1.0
raw_xgboost,4,0.8086876155268022,0.8771195711628924,1.0,1.0
