,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train,model
0,0,0.7211880359757373,0.7813837837005428,0.9416853325094616,0.9917476850879652,raw_random_forest
1,1,0.7182597782890608,0.7834499715623224,0.9446976133467212,0.9919573896329898,raw_random_forest
2,2,0.7236979711357456,0.7828103260898099,0.9440797095852321,0.9922751137907682,raw_random_forest
3,3,0.7216063585024054,0.7843472591070277,0.9439252336448598,0.9922312426904737,raw_random_forest
4,4,0.726207906295754,0.7804450825204515,0.9441569475554182,0.9931111234243949,raw_random_forest
5,5,0.7199330683957331,0.7839202522461605,0.9443114234957906,0.9921339085863189,raw_random_forest
6,6,0.7222338422924074,0.7907031726048663,0.9426121881516953,0.9917041220711703,raw_random_forest
7,7,0.7157498431290525,0.7710651210651212,0.9440024716150459,0.9922309499028522,raw_random_forest
8,8,0.7316460991424388,0.7926891456290971,0.9433845678535568,0.991946281498578,raw_random_forest
9,9,0.7165864881823886,0.7789896716704174,0.9423032362709508,0.9927946607163541,raw_random_forest
0,0,0.7019451997490065,0.7700370718554198,1.0,1.0,raw_extra_trees
1,1,0.698389458272328,0.7662035384292315,1.0,1.0,raw_extra_trees
2,2,0.6896046852122987,0.7660472606412394,1.0,1.0,raw_extra_trees
3,3,0.691487136582305,0.7706893775509489,1.0,1.0,raw_extra_trees
4,4,0.6958795231123196,0.7761682056537562,1.0,1.0,raw_extra_trees
5,5,0.6910688140556369,0.7643533519386878,1.0,1.0,raw_extra_trees
6,6,0.7011085546956703,0.7709112936192613,1.0,1.0,raw_extra_trees
7,7,0.6875130725789583,0.7649113141990732,1.0,1.0,raw_extra_trees
8,8,0.6948337167956494,0.7713647041776538,1.0,1.0,raw_extra_trees
9,9,0.6868855887889563,0.7651573986738929,1.0,1.0,raw_extra_trees
0,0,0.5308512863417695,0.5198420448420449,0.5849231482196647,0.5880100185963513,raw_logit_l2
1,1,0.513700062748379,0.49945590446039334,0.5884760948482274,0.5903405981903522,raw_logit_l2
2,2,0.5237398033884124,0.5159540155859793,0.5809067737699853,0.5798257316417911,raw_logit_l2
3,3,0.5216481907550722,0.510726416530609,0.5787441106047733,0.5806814227641055,raw_logit_l2
4,4,0.5245764484417486,0.5118508998598961,0.5792847763960763,0.586615710633725,raw_logit_l2
5,5,0.53398870529178,0.5238357527189428,0.5853093380705955,0.5879996305948593,raw_logit_l2
6,6,0.5235306421250784,0.5208995911744643,0.5861589557426431,0.5886592441745617,raw_logit_l2
7,7,0.5289688349717633,0.5181865115408106,0.5802888700084962,0.5854667328462136,raw_logit_l2
8,8,0.5289688349717633,0.5199133077958236,0.5862361937128292,0.5848273615635179,raw_logit_l2
9,9,0.5197657393850659,0.5122374201966345,0.578589634664401,0.5884530397999377,raw_logit_l2
0,0,0.5216481907550722,0.5154117697705454,0.5861589557426431,0.5908493491355151,raw_logit
1,1,0.520393223175068,0.5093804457352336,0.5848459102494786,0.5891358335204588,raw_logit
2,2,0.5281321899184271,0.5198896251722092,0.5844597203985479,0.5892377761333539,raw_logit
3,3,0.5193474168583978,0.5011604862736753,0.5813702015911022,0.5865115691683764,raw_logit
4,4,0.5231123195984104,0.515941558759746,0.5792075384258901,0.592143327027006,raw_logit
5,5,0.5287596737084292,0.5180772417008168,0.5789758245153317,0.5833180290764336,raw_logit
6,6,0.5143275465383811,0.4997093274561829,0.5761952575886305,0.5820320221859316,raw_logit
7,7,0.5088893536916963,0.49808859122418014,0.5757318297675137,0.57938227190775,raw_logit
8,8,0.513490901485045,0.5020629653354616,0.5828377230246389,0.5830578579449975,raw_logit
9,9,0.5243672871784145,0.5128087372092022,0.5782806827836564,0.5804617084896925,raw_logit
0,0,0.7211880359757373,0.795661007339276,1.0,1.0,raw_xgboost
1,1,0.7165864881823886,0.7890504991395473,1.0,1.0,raw_xgboost
2,2,0.7180506170257268,0.7916408112867002,1.0,1.0,raw_xgboost
3,3,0.7224430035557414,0.7966623146605435,1.0,1.0,raw_xgboost
4,4,0.7199330683957331,0.7918878338507414,1.0,1.0,raw_xgboost
5,5,0.7163773269190545,0.7907077225473098,1.0,1.0,raw_xgboost
6,6,0.7243254549257477,0.7965290789020425,1.0,1.0,raw_xgboost
7,7,0.7341560343024471,0.8044879839340054,1.0,1.0,raw_xgboost
8,8,0.7203513909224012,0.7890614336262745,1.0,1.0,raw_xgboost
9,9,0.719096423342397,0.7859088334864079,1.0,1.0,raw_xgboost
