,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train,model
0,0,0.6120058565153733,0.6568199946171245,0.9992276202981386,1.0,raw_random_forest
1,1,0.6067768249320226,0.6500737250191531,0.9987641924770218,1.0,raw_random_forest
2,2,0.6224639196820749,0.6828195328195328,0.9986869545068355,1.0,raw_random_forest
3,3,0.6258104998954194,0.6767181534341369,0.9990731443577663,1.0,raw_random_forest
4,4,0.6186990169420623,0.6761730714106466,0.9990731443577663,1.0,raw_random_forest
5,5,0.6222547584187409,0.6784201791885051,0.9993048582683247,0.9999999761364252,raw_random_forest
6,6,0.609705082618699,0.658171882918525,0.9996138101490692,1.0,raw_random_forest
7,7,0.6107508889353692,0.6671907158758383,0.9990731443577663,1.0,raw_random_forest
8,8,0.61597992051872,0.6627288829148595,0.9993820962385108,1.0,raw_random_forest
9,9,0.6124241790420414,0.671572966266456,0.9992276202981386,1.0,raw_random_forest
0,0,0.6310395314787701,0.6779649434367208,1.0,1.0,raw_extra_trees
1,1,0.6285295963187618,0.6869224657793146,1.0,1.0,raw_extra_trees
2,2,0.6243463710520811,0.6743779788315891,1.0,1.0,raw_extra_trees
3,3,0.623300564735411,0.6794523220794857,1.0,1.0,raw_extra_trees
4,4,0.6297845638987659,0.6865505840123448,1.0,1.0,raw_extra_trees
5,5,0.6249738548420832,0.6781327275813732,1.0,1.0,raw_extra_trees
6,6,0.6316670152687722,0.6823303342365745,1.0,1.0,raw_extra_trees
7,7,0.6289479188454298,0.6832550510698576,1.0,1.0,raw_extra_trees
8,8,0.6222547584187409,0.6759494065213867,1.0,1.0,raw_extra_trees
9,9,0.6335494666387785,0.6843871642653999,1.0,1.0,raw_extra_trees
0,0,0.4971763229449906,0.5063215003461486,0.5283077160732216,0.5578988387387438,raw_logit_l2
1,1,0.4980129679983267,0.501070374123408,0.5218197265775856,0.5524116857650374,raw_logit_l2
2,2,0.5101443212717005,0.5045803317021262,0.5373445585850004,0.5441800553865908,raw_logit_l2
3,3,0.5105626437983686,0.5184541190626939,0.5278442882521047,0.554657642850403,raw_logit_l2
4,4,0.5143275465383811,0.5092905349241166,0.543060168378775,0.553558206281443,raw_logit_l2
5,5,0.4980129679983267,0.5035118002648724,0.5347184675986715,0.5550798337485959,raw_logit_l2
6,6,0.5028236770550094,0.5073023676127598,0.5233644859813084,0.5467861736526232,raw_logit_l2
7,7,0.5047061284250157,0.5107416013319293,0.5249092453850313,0.5514858071299957,raw_logit_l2
8,8,0.5063794185316879,0.5079818214401721,0.5250637213254036,0.5487726670723414,raw_logit_l2
9,9,0.5105626437983686,0.5082016498496795,0.5241368656831699,0.5454453235514778,raw_logit_l2
0,0,0.4978038067349927,0.5062536552278816,0.5222059164285162,0.547494808716555,raw_logit
1,1,0.486299937251621,0.49314432397843094,0.5238279138024253,0.5508802848416299,raw_logit
2,2,0.5101443212717005,0.5170707557521139,0.5229010581601915,0.5476964723086057,raw_logit
3,3,0.4898556787282995,0.4931201209556758,0.5201977292036766,0.5421945721981001,raw_logit
4,4,0.5047061284250157,0.5112956740865183,0.5252181972657759,0.5487873301370663,raw_logit
5,5,0.5034511608450115,0.5058906411355959,0.5272263844906155,0.5493464618450838,raw_logit
6,6,0.500313741895001,0.5049987399017123,0.5231327720707499,0.5504331923864434,raw_logit
7,7,0.4967580004183225,0.5009176704051295,0.5215107746968409,0.5451692799814594,raw_logit
8,8,0.49633967789165445,0.507095634083264,0.5255271491465204,0.5515843585045181,raw_logit
9,9,0.49759464547165866,0.5053656680552507,0.5250637213254036,0.5505587909983498,raw_logit
0,0,0.7105208115457018,0.79562575422858,1.0,1.0,raw_xgboost
1,1,0.7236979711357456,0.8016372092893025,1.0,1.0,raw_xgboost
2,2,0.7184689395523949,0.8007632770232196,1.0,1.0,raw_xgboost
3,3,0.7354110018824513,0.8094620967143344,1.0,1.0,raw_xgboost
4,4,0.7224430035557414,0.8044534486638742,1.0,1.0,raw_xgboost
5,5,0.7243254549257477,0.8015752986672893,1.0,1.0,raw_xgboost
6,6,0.7153315206023845,0.8007477521935582,1.0,1.0,raw_xgboost
7,7,0.7130307467057101,0.7983771231101995,1.0,1.0,raw_xgboost
8,8,0.7220246810290735,0.8071250452796312,1.0,1.0,raw_xgboost
9,9,0.7161681656557206,0.7987902879958271,1.0,1.0,raw_xgboost
