,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train,model
0,0,0.5565781217318553,0.5722252029865509,0.8606627017841971,0.9471199965637543,tsfresh_simple_baseline_random_forest
1,1,0.5599247019451997,0.5799693340319099,0.8581138487680544,0.9480125802876501,tsfresh_simple_baseline_random_forest
2,2,0.5526040577285087,0.5761415261415261,0.8558739476326562,0.9484565084929535,tsfresh_simple_baseline_random_forest
3,3,0.5597155406818657,0.5804965912897031,0.8594268942612188,0.9455301715460912,tsfresh_simple_baseline_random_forest
4,4,0.561388830788538,0.5840127622385577,0.8569552792152623,0.9439380619456904,tsfresh_simple_baseline_random_forest
5,5,0.5490483162518301,0.5737191067883665,0.8557194716922839,0.9449106989235381,tsfresh_simple_baseline_random_forest
6,6,0.5469567036184898,0.5693774796795772,0.8615123194562447,0.9474846569783735,tsfresh_simple_baseline_random_forest
7,7,0.5513490901485045,0.577815094577377,0.8590407044102881,0.9459431240907796,tsfresh_simple_baseline_random_forest
8,8,0.5590880568918636,0.575123564395252,0.8530161427357689,0.9442752484927832,tsfresh_simple_baseline_random_forest
9,9,0.5528132189918427,0.5790529863557379,0.8566463273345176,0.9436371695932143,tsfresh_simple_baseline_random_forest
0,0,0.5321062539217737,0.5556280830504761,1.0,1.0,tsfresh_simple_baseline_extra_trees
1,1,0.5454925747751517,0.5613408628757625,1.0,1.0,tsfresh_simple_baseline_extra_trees
2,2,0.5475841874084919,0.5712403491545063,1.0,1.0,tsfresh_simple_baseline_extra_trees
3,3,0.5360803179251202,0.5578489069015783,1.0,1.0,tsfresh_simple_baseline_extra_trees
4,4,0.5400543819284669,0.5591685895751004,1.0,1.0,tsfresh_simple_baseline_extra_trees
5,5,0.5381719305584606,0.5593915762909709,1.0,1.0,tsfresh_simple_baseline_extra_trees
6,6,0.5465383810918218,0.5598557136101212,1.0,1.0,tsfresh_simple_baseline_extra_trees
7,7,0.5454925747751517,0.5649407641454983,1.0,1.0,tsfresh_simple_baseline_extra_trees
8,8,0.5312696088684375,0.555592920329202,1.0,1.0,tsfresh_simple_baseline_extra_trees
9,9,0.5354528341351181,0.5551500362937406,1.0,1.0,tsfresh_simple_baseline_extra_trees
0,0,0.5835599247019452,0.6196179834898644,0.5708658376457867,0.6003217426745853,tsfresh_simple_baseline_logit_l2
1,1,0.5703827651119012,0.6085962452899863,0.5585850003861899,0.586661369261886,tsfresh_simple_baseline_logit_l2
2,2,0.5693369587952312,0.6104267742003234,0.5704024098246698,0.5969357210675316,tsfresh_simple_baseline_logit_l2
3,3,0.5739385065885798,0.6084100089354245,0.5644550861203368,0.5918448265189127,tsfresh_simple_baseline_logit_l2
4,4,0.5735201840619117,0.6095590137088327,0.5588167142967483,0.5901883424818204,tsfresh_simple_baseline_logit_l2
5,5,0.5860698598619536,0.6209840390532908,0.5648412759712674,0.5953676881705163,tsfresh_simple_baseline_logit_l2
6,6,0.5793766994352646,0.6164430930161584,0.5632192785973584,0.5943519585734569,tsfresh_simple_baseline_logit_l2
7,7,0.57603011922192,0.6088004062705948,0.5714065034370897,0.6017610271265442,tsfresh_simple_baseline_logit_l2
8,8,0.5689186362685631,0.6043557349828071,0.5667722252259211,0.5938573456944791,tsfresh_simple_baseline_logit_l2
9,9,0.5720560552185735,0.6069444881931101,0.5576581447439561,0.586368471842803,tsfresh_simple_baseline_logit_l2
0,0,0.5829324409119431,0.6169205682888441,0.5701706959141114,0.5980126580025086,tsfresh_simple_baseline_logit
1,1,0.5787492156452625,0.6195368476177274,0.5711747895265312,0.6046700146091603,tsfresh_simple_baseline_logit
