,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train,model
0,0,0.7073833925956913,0.7743542333397732,0.8871553255580443,0.967769154818476,tsfresh_simple_baseline_random_forest
1,1,0.7113574565990378,0.7725325283283019,0.888082181200278,0.9681661925346047,tsfresh_simple_baseline_random_forest
2,2,0.7036184898556788,0.7749402789955322,0.8859967560052522,0.9682945535540854,tsfresh_simple_baseline_random_forest
3,3,0.7052917799623509,0.769092524124646,0.8814397157642697,0.9679107944866034,tsfresh_simple_baseline_random_forest
4,4,0.7094750052290316,0.7749968142876746,0.8878504672897196,0.9692927464593224,tsfresh_simple_baseline_random_forest
5,5,0.7004810709056682,0.7642550824948402,0.892330269560516,0.9688577107921978,tsfresh_simple_baseline_random_forest
6,6,0.7086383601756955,0.7787425989061239,0.8937205530238665,0.9702291996327918,tsfresh_simple_baseline_random_forest
7,7,0.7029910060656767,0.7687423437423437,0.8881594191704641,0.9690041256463369,tsfresh_simple_baseline_random_forest
8,8,0.7176322944990587,0.7784069312856337,0.8906310342164208,0.9697509369811287,tsfresh_simple_baseline_random_forest
9,9,0.7088475214390295,0.775988996181563,0.8868463736772998,0.9681536211895985,tsfresh_simple_baseline_random_forest
0,0,0.705710102489019,0.7676357312206482,1.0,1.0,tsfresh_simple_baseline_extra_trees
1,1,0.6996444258523321,0.7634564433711326,1.0,1.0,tsfresh_simple_baseline_extra_trees
2,2,0.7021543610123405,0.7645166833969645,1.0,1.0,tsfresh_simple_baseline_extra_trees
3,3,0.6910688140556369,0.7600744544557159,1.0,1.0,tsfresh_simple_baseline_extra_trees
4,4,0.7027818448023426,0.7696899870286874,1.0,1.0,tsfresh_simple_baseline_extra_trees
5,5,0.698598619535662,0.7633799482157968,1.0,1.0,tsfresh_simple_baseline_extra_trees
6,6,0.6952520393223175,0.7672058613535375,1.0,1.0,tsfresh_simple_baseline_extra_trees
7,7,0.6962978456389877,0.7685504823232155,1.0,1.0,tsfresh_simple_baseline_extra_trees
8,8,0.7023635222756746,0.7635648970969013,1.0,1.0,tsfresh_simple_baseline_extra_trees
9,9,0.7038276511190128,0.7691586446337106,1.0,1.0,tsfresh_simple_baseline_extra_trees
0,0,0.6933695879523112,0.739008239008239,0.6897350737622615,0.7420188531160281,tsfresh_simple_baseline_logit_l2
1,1,0.6789374607822631,0.732141013323253,0.6769135707113617,0.7348298870383977,tsfresh_simple_baseline_logit_l2
2,2,0.6873039113156243,0.7355036917385209,0.6923611647485904,0.7370385719095256,tsfresh_simple_baseline_logit_l2
3,3,0.7155406818657185,0.7575760916547234,0.710975515563451,0.737361429222338,tsfresh_simple_baseline_logit_l2
4,4,0.6956703618489856,0.7355726844108167,0.7122885610566154,0.7355643147025427,tsfresh_simple_baseline_logit_l2
5,5,0.7027818448023426,0.7498005577731361,0.6938286861821271,0.7373500574272269,tsfresh_simple_baseline_logit_l2
6,6,0.6835390085756118,0.7312354468994043,0.6987719162740403,0.7391142835747831,tsfresh_simple_baseline_logit_l2
7,7,0.6870947500522904,0.7343438214792608,0.691048119255426,0.7379005731848748,tsfresh_simple_baseline_logit_l2
8,8,0.6931604266889771,0.7481608968110779,0.6966864910790145,0.7474374008185083,tsfresh_simple_baseline_logit_l2
