,trial,accuracy_test,auc_roc_test,model
0,0,0.6321626617375231,0.6226268556628725,raw_knn_k1_lp1
1,1,0.5970425138632163,0.5964442895413045,raw_knn_k1_lp1
2,2,0.6210720887245841,0.6149785459083372,raw_knn_k1_lp1
3,3,0.6524953789279113,0.6509046179078468,raw_knn_k1_lp1
4,4,0.621996303142329,0.6280220982387048,raw_knn_k1_lp1
5,5,0.6358595194085028,0.6380665354545951,raw_knn_k1_lp1
6,6,0.6025878003696857,0.6032565053221479,raw_knn_k1_lp1
7,7,0.621996303142329,0.6307266009852217,raw_knn_k1_lp1
8,8,0.6349353049907579,0.6349353049907578,raw_knn_k1_lp1
9,9,0.6256931608133087,0.6274699742025864,raw_knn_k1_lp1
0,0,0.4658040665434381,0.5028924560233858,raw_knn_k5_lp2
1,1,0.4731977818853974,0.5158295749624163,raw_knn_k5_lp2
2,2,0.45471349353049906,0.5016383528318391,raw_knn_k5_lp2
3,3,0.4722735674676525,0.5180676992042421,raw_knn_k5_lp2
4,4,0.47597042513863214,0.517057671337301,raw_knn_k5_lp2
5,5,0.47412199630314233,0.515475832261947,raw_knn_k5_lp2
6,6,0.47597042513863214,0.4960255214153655,raw_knn_k5_lp2
7,7,0.4722735674676525,0.5198491396996471,raw_knn_k5_lp2
8,8,0.47966728280961185,0.5224528495284952,raw_knn_k5_lp2
9,9,0.4722735674676525,0.5080361017985967,raw_knn_k5_lp2
0,0,0.6423290203327172,0.7009245845178219,raw_knn_k5_lp1
1,1,0.6035120147874307,0.6573745556467049,raw_knn_k5_lp1
2,2,0.6136783733826248,0.6799049767569045,raw_knn_k5_lp1
3,3,0.5970425138632163,0.6701272468137028,raw_knn_k5_lp1
4,4,0.6062846580406654,0.6722495558288916,raw_knn_k5_lp1
5,5,0.5859519408502772,0.6702143289109986,raw_knn_k5_lp1
6,6,0.5914972273567468,0.664193847173945,raw_knn_k5_lp1
7,7,0.5822550831792976,0.6673888158007142,raw_knn_k5_lp1
8,8,0.589648798521257,0.6300580997949419,raw_knn_k5_lp1
9,9,0.5998151571164511,0.6569362531411868,raw_knn_k5_lp1
0,0,0.588724584103512,0.6660311277399075,raw_knn_k5_lp1_wd
1,1,0.5850277264325323,0.6506415184596723,raw_knn_k5_lp1_wd
2,2,0.6238447319778189,0.7028281254271577,raw_knn_k5_lp1_wd
3,3,0.6035120147874307,0.6573277854831253,raw_knn_k5_lp1_wd
4,4,0.6035120147874307,0.6597922645893126,raw_knn_k5_lp1_wd
5,5,0.5748613678373382,0.6505390121811627,raw_knn_k5_lp1_wd
6,6,0.6469500924214417,0.7605004834681235,raw_knn_k5_lp1_wd
7,7,0.6062846580406654,0.6962172395998865,raw_knn_k5_lp1_wd
8,8,0.6460258780036968,0.7064578955461022,raw_knn_k5_lp1_wd
9,9,0.6256931608133087,0.7021223513328776,raw_knn_k5_lp1_wd
