,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train,model
0,0,0.7754158964879853,0.8493128188284561,0.959954233409611,0.9840719190038404,raw_random_forest
1,1,0.7763401109057301,0.848637991361872,0.9511823035850496,0.9835221876687585,raw_random_forest
2,2,0.7791127541589649,0.8616510248388807,0.9591914569031273,0.9890359465239086,raw_random_forest
3,3,0.789279112754159,0.854434250764526,0.9549961861174676,0.984483827136427,raw_random_forest
4,4,0.7707948243992606,0.8424680013127667,0.9572845156369184,0.986369899039737,raw_random_forest
5,5,0.7781885397412199,0.8447255480837571,0.9477498093058734,0.9817029744449098,raw_random_forest
6,6,0.7791127541589649,0.8419381844897401,0.9534706331045004,0.9849768863986129,raw_random_forest
7,7,0.7855822550831792,0.8482895457033388,0.9549961861174676,0.983874299246226,raw_random_forest
8,8,0.7809611829944547,0.8532224503811318,0.9595728451563692,0.9873539118143246,raw_random_forest
9,9,0.7855822550831792,0.8521176088702099,0.958047292143402,0.9826157750508177,raw_random_forest
0,0,0.7245841035120147,0.7588953279655367,1.0,1.0,raw_extra_trees
1,1,0.7569316081330869,0.800010250102501,1.0,1.0,raw_extra_trees
2,2,0.7707948243992606,0.8063651459654493,1.0,1.0,raw_extra_trees
3,3,0.7523105360443623,0.7852632765813508,1.0,1.0,raw_extra_trees
4,4,0.7523105360443623,0.7930125078195236,1.0,1.0,raw_extra_trees
5,5,0.755083179297597,0.8078189539623054,1.0,1.0,raw_extra_trees
6,6,0.7347504621072088,0.7746986675415304,1.0,1.0,raw_extra_trees
7,7,0.7541589648798521,0.7843709823016112,1.0,1.0,raw_extra_trees
8,8,0.755083179297597,0.7928454284542846,1.0,1.0,raw_extra_trees
9,9,0.7236598890942699,0.7729318528998659,1.0,1.0,raw_extra_trees
0,0,0.5101663585951941,0.5143402853706539,0.6006864988558352,0.6537211932767633,raw_logit_l2
1,1,0.4907578558225508,0.5057184850970742,0.583905415713196,0.6463587487781037,raw_logit_l2
2,2,0.48613678373382624,0.5204710144927537,0.5697940503432495,0.6314104951490661,raw_logit_l2
3,3,0.4787430683918669,0.4837258742023577,0.5900076277650649,0.6525820284835226,raw_logit_l2
4,4,0.5009242144177449,0.5049781331146644,0.5995423340961098,0.6562715276484826,raw_logit_l2
5,5,0.48151571164510165,0.5038899006085124,0.5964912280701754,0.6541825895911785,raw_logit_l2
6,6,0.49815157116451014,0.4976468055000154,0.5850495804729214,0.6406688461943504,raw_logit_l2
7,7,0.4944547134935305,0.49569956773565244,0.5785659801678108,0.6367912881434894,raw_logit_l2
8,8,0.49630314232902034,0.5030109364319891,0.5987795575896262,0.649677429865433,raw_logit_l2
9,9,0.5018484288354899,0.5288237003607024,0.581998474446987,0.6365541720004655,raw_logit_l2
0,0,0.5046210720887245,0.5230007004595698,0.5980167810831426,0.6555386817483592,raw_logit
1,1,0.5175600739371534,0.5315599747151181,0.5842868039664378,0.6446765454740107,raw_logit
2,2,0.5166358595194085,0.5247273025506438,0.572463768115942,0.6311983759672958,raw_logit
3,3,0.4731977818853974,0.49106693378538036,0.5736079328756675,0.6390353041972043,raw_logit
4,4,0.5194085027726433,0.5346590132567993,0.589626239511823,0.642261101284677,raw_logit
5,5,0.4805914972273567,0.520161276544855,0.581998474446987,0.6407642867326364,raw_logit
6,6,0.4907578558225508,0.4998957895564052,0.5903890160183066,0.6589604457310776,raw_logit
7,7,0.5009242144177449,0.5018026977243291,0.5926773455377574,0.6550008876368199,raw_logit
8,8,0.5046210720887245,0.5090735140860712,0.5793287566742944,0.6317450749599847,raw_logit
9,9,0.5064695009242144,0.5154408749145591,0.6048817696414951,0.6593803095542884,raw_logit
0,0,0.7985212569316081,0.8780644609728991,1.0,1.0,raw_xgboost
1,1,0.7948243992606284,0.8712826294929616,1.0,1.0,raw_xgboost
2,2,0.8170055452865065,0.8885802437499359,1.0,1.0,raw_xgboost
3,3,0.7855822550831792,0.8699024481916185,1.0,1.0,raw_xgboost
4,4,0.8207024029574861,0.8934505485494446,1.0,1.0,raw_xgboost
5,5,0.8059149722735675,0.8859864949834606,1.0,1.0,raw_xgboost
6,6,0.8012939001848429,0.8783356411439904,1.0,1.0,raw_xgboost
7,7,0.8188539741219963,0.8872148849288387,1.0,1.0,raw_xgboost
8,8,0.8012939001848429,0.8733668170015034,1.0,1.0,raw_xgboost
9,9,0.8188539741219963,0.8850587672543392,1.0,1.0,raw_xgboost
