,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train,model
0,0,0.6478743068391867,0.639078489535755,1.0,1.0,raw_knn_k1_victor_purpura
1,1,0.6386321626617375,0.6362862883385272,1.0,1.0,raw_knn_k1_victor_purpura
2,2,0.6275415896487985,0.6210933894045849,1.0,1.0,raw_knn_k1_victor_purpura
3,3,0.6349353049907579,0.6331454051560659,1.0,1.0,raw_knn_k1_victor_purpura
4,4,0.6293900184842883,0.6351978722240456,1.0,1.0,raw_knn_k1_victor_purpura
5,5,0.6487985212569316,0.6509895577059757,1.0,1.0,raw_knn_k1_victor_purpura
6,6,0.6238447319778189,0.6266380768507919,1.0,1.0,raw_knn_k1_victor_purpura
7,7,0.6303142329020333,0.6392172961138478,1.0,1.0,raw_knn_k1_victor_purpura
8,8,0.6247689463955638,0.6247689463955639,1.0,1.0,raw_knn_k1_victor_purpura
9,9,0.6423290203327172,0.6441887482274956,1.0,1.0,raw_knn_k1_victor_purpura
