model_name,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train
tsfresh_simple_baseline_extra_trees,0,0.8059149722735675,0.8973847085510178,1.0,1.0
tsfresh_simple_baseline_extra_trees,4,0.8391866913123844,0.9003801553440542,1.0,1.0
tsfresh_simple_baseline_extra_trees,1,0.8179297597042514,0.8969609370728775,1.0,1.0
tsfresh_simple_baseline_extra_trees,2,0.8299445471349353,0.893743268885584,1.0,1.0
tsfresh_simple_baseline_extra_trees,3,0.8410351201478743,0.9046401175405326,1.0,1.0
tsfresh_simple_baseline_logit_elastic,0,0.7818853974121996,0.8466304686243719,0.8680396643783371,0.9185028511579193
tsfresh_simple_baseline_logit_elastic,1,0.7874306839186691,0.8362377672079164,0.8630816170861938,0.9166501787676207
tsfresh_simple_baseline_logit_elastic,3,0.789279112754159,0.8618762065843201,0.8543096872616324,0.9189945678265197
tsfresh_simple_baseline_logit_elastic,4,0.7837338262476895,0.8537666830762499,0.8543096872616324,0.9186953364643893
tsfresh_simple_baseline_logit_elastic,2,0.777264325323475,0.8497940065302494,0.8627002288329519,0.9239714289870674
tsfresh_simple_baseline_logit_l2,2,0.7301293900184843,0.8461322802878778,0.7723112128146453,0.8551525290583494
tsfresh_simple_baseline_logit_l2,0,0.722735674676525,0.8482042965502377,0.7669717772692601,0.8506295822180846
tsfresh_simple_baseline_logit_l2,4,0.7245841035120147,0.8384955147139262,0.7650648360030511,0.8547439454097758
tsfresh_simple_baseline_logit_l2,1,0.7014787430683919,0.8310507900060139,0.7528604118993135,0.8483990056051097
tsfresh_simple_baseline_logit_l2,3,0.7467652495378928,0.8634274682657647,0.7593440122044242,0.8471426534727213
tsfresh_simple_baseline_random_forest,4,0.8354898336414048,0.9133163767640302,0.982837528604119,0.9993378701061736
tsfresh_simple_baseline_random_forest,0,0.8262476894639557,0.9092790841690017,0.982837528604119,0.9991213778657047
tsfresh_simple_baseline_random_forest,2,0.833641404805915,0.9088397695608323,0.984744469870328,0.9991882573718741
tsfresh_simple_baseline_random_forest,1,0.8197781885397413,0.9088246952052923,0.9839816933638444,0.9992673553565111
tsfresh_simple_baseline_random_forest,3,0.8419593345656192,0.9232569661558437,0.9839816933638444,0.9993866619337606
tsfresh_simple_baseline_xgboost,2,0.8299445471349353,0.8936765987999384,1.0,1.0
tsfresh_simple_baseline_xgboost,3,0.8502772643253235,0.9008695949293561,1.0,1.0
tsfresh_simple_baseline_xgboost,1,0.8262476894639557,0.8869970203925428,1.0,1.0
tsfresh_simple_baseline_xgboost,0,0.8160813308687616,0.8873344486983415,1.0,1.0
tsfresh_simple_baseline_xgboost,4,0.8401109057301294,0.8983699814024724,1.0,1.0
