,trial,accuracy_test,auc_roc_test,accuracy_train,auc_roc_train,model
0,0,0.7957486136783734,0.8817610450217428,0.9900839054157132,0.9999074828348656,tsfresh_simple_baseline_random_forest
1,1,0.7966728280961183,0.8907556995243564,0.9916094584286804,0.9998114560250274,tsfresh_simple_baseline_random_forest
2,2,0.8197781885397413,0.8941073901225703,0.9916094584286804,0.9998731470301567,tsfresh_simple_baseline_random_forest
3,3,0.8271719038817006,0.9108639570840381,0.9912280701754386,0.9999633393755474,tsfresh_simple_baseline_random_forest
4,4,0.821626617375231,0.909562684607811,0.9919908466819222,0.9998993422920632,tsfresh_simple_baseline_random_forest
5,5,0.8086876155268022,0.8916201957246733,0.9927536231884058,0.9998632639761672,tsfresh_simple_baseline_random_forest
6,6,0.8105360443622921,0.8949238838866204,0.992372234935164,0.9999441433421483,tsfresh_simple_baseline_random_forest
7,7,0.8133086876155268,0.8926826765188834,0.9919908466819222,0.999853376273139,tsfresh_simple_baseline_random_forest
8,8,0.822550831792976,0.897362657637496,0.9889397406559878,0.9998830305220505,tsfresh_simple_baseline_random_forest
9,9,0.8114602587800369,0.8961269711103139,0.990465293668955,0.9999196925972287,tsfresh_simple_baseline_random_forest
0,0,0.7689463955637708,0.8583038446416056,1.0,1.0,tsfresh_simple_baseline_extra_trees
1,1,0.8031423290203327,0.8949296159628264,1.0,1.0,tsfresh_simple_baseline_extra_trees
2,2,0.8059149722735675,0.8908880931554777,1.0,1.0,tsfresh_simple_baseline_extra_trees
3,3,0.8096118299445472,0.8894634699686002,1.0,1.0,tsfresh_simple_baseline_extra_trees
4,4,0.7948243992606284,0.8840608196570006,1.0,1.0,tsfresh_simple_baseline_extra_trees
5,5,0.8142329020332717,0.8920538474163634,1.0,1.0,tsfresh_simple_baseline_extra_trees
6,6,0.789279112754159,0.8726167652597081,1.0,1.0,tsfresh_simple_baseline_extra_trees
7,7,0.7920517560073937,0.8704249528134145,1.0,1.0,tsfresh_simple_baseline_extra_trees
8,8,0.8059149722735675,0.8895158534918682,1.0,1.0,tsfresh_simple_baseline_extra_trees
9,9,0.8179297597042514,0.8948984508760599,1.0,1.0,tsfresh_simple_baseline_extra_trees
0,0,0.7014787430683919,0.8289860321452001,0.7444698703279939,0.8617603113057806,tsfresh_simple_baseline_logit_l2
1,1,0.7024029574861368,0.8394619907027618,0.7410373760488177,0.8610226690871852,tsfresh_simple_baseline_logit_l2
