,,0
"value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.9989480545372349
"value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.9987917992517779
"value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.998572642126907
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",0.9985707308026888
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.998326243785958
"value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",0.9982623850440621
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""","value__linear_trend__attr_""intercept""",0.9981215147450003
"value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",0.9978174263258659
"value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",0.9971704828495029
"value__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)",0.996403870415157
"value__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",0.9962197827124117
"value__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.9960223197356958
"value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.9954889164759138
"value__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",0.9951054528261086
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""",0.995070624665856
"value__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)",0.9950441715095929
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""var""","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.9949909301545938
"value__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",0.9949423840745552
"value__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",0.9948184130481793
"value__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)",0.9947991380628974
"value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.994742887214062
"value__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",0.9944751625262291
"value__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",0.9943906613297141
"value__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",0.9938304120074193
"value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.9936919158410085
"value__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)",0.9935502977122456
"value__cwt_coefficients__coeff_13__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_14__w_10__widths_(2, 5, 10, 20)",0.9931310367962075
"value__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",0.9927800437719645
"value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",0.9921945058800818
"value__cwt_coefficients__coeff_5__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)",0.9918771265929491
"value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)",0.9914752535937678
"value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)",0.9904455840167481
"value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",0.990032463410593
"value__cwt_coefficients__coeff_3__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)",0.9899421406063761
"value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",0.9890065933972801
"value__cwt_coefficients__coeff_4__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)",0.988916920674405
"value__agg_linear_trend__attr_""rvalue""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""rvalue""__chunk_len_5__f_agg_""mean""",0.9884385737218935
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""var""","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",0.98768642906519
"value__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0",value__cid_ce__normalize_False,0.9876306472752862
value__absolute_sum_of_changes,value__cid_ce__normalize_False,0.9876306472752859
"value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_11__w_20__widths_(2, 5, 10, 20)",0.9869871627970285
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""var""",value__variance,0.9868852585127582
"value__cwt_coefficients__coeff_5__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)",0.986873546738517
"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",value__sum_values,0.9865343230348226
"value__fft_coefficient__attr_""real""__coeff_0","value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.9865343230348225
value__mean,"value__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""mean""",0.9865343230348224
"value__cwt_coefficients__coeff_2__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.9863595035335407
"value__cwt_coefficients__coeff_7__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.9841259948560591
"value__cwt_coefficients__coeff_14__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_10__w_20__widths_(2, 5, 10, 20)",0.9838883205784065
"value__cwt_coefficients__coeff_3__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_2__w_10__widths_(2, 5, 10, 20)",0.9837587728246534
"value__cwt_coefficients__coeff_0__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_1__w_20__widths_(2, 5, 10, 20)",0.9826341648844928
"value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_4__w_20__widths_(2, 5, 10, 20)",0.9822294104854142
"value__cwt_coefficients__coeff_13__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)",0.9816817874669992
"value__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)",0.9803794639065289
"value__cwt_coefficients__coeff_7__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.9801739684001827
"value__cwt_coefficients__coeff_9__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_6__w_20__widths_(2, 5, 10, 20)",0.9800226237891301
"value__cwt_coefficients__coeff_11__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_9__w_10__widths_(2, 5, 10, 20)",0.9797786724574482
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""mean""",value__sum_values,0.979570156723977
"value__cwt_coefficients__coeff_8__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_6__w_10__widths_(2, 5, 10, 20)",0.9789268472046772
"value__agg_linear_trend__attr_""slope""__chunk_len_10__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",0.9787306083626985
"value__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""",0.978640205126937
"value__cwt_coefficients__coeff_12__w_20__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_8__w_20__widths_(2, 5, 10, 20)",0.9785922465892979
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""","value__fft_coefficient__attr_""real""__coeff_0",0.9785612751673605
"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",value__mean,0.9785612751673604
value__sum_values,"value__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""mean""",0.9785612751673602
"value__cwt_coefficients__coeff_10__w_10__widths_(2, 5, 10, 20)","value__cwt_coefficients__coeff_12__w_10__widths_(2, 5, 10, 20)",0.9784912418310981
"value__agg_linear_trend__attr_""slope""__chunk_len_5__f_agg_""mean""","value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""",0.9779579897399165
"value__agg_linear_trend__attr_""slope""__chunk_len_50__f_agg_""mean""","value__linear_trend__attr_""slope""",0.9777806217866462
"value__linear_trend__attr_""intercept""",value__sum_values,0.9777131210284921
"value__fft_coefficient__attr_""real""__coeff_0","value__linear_trend__attr_""intercept""",0.977713121028492
value__mean,"value__linear_trend__attr_""intercept""",0.9777131210284917
"value__linear_trend__attr_""stderr""",value__cid_ce__normalize_False,0.9769228428277524
